iter	Passed	Remaining
1506	72422	167864
1507	72472	167821
1508	72515	167762
1509	72554	167691
1510	72593	167623
1511	72638	167567
1512	72689	167527
1513	72732	167467
1514	72782	167423
1515	72839	167397
1516	72901	167381
1517	72954	167343
1518	73000	167291
1519	73047	167240
1520	73104	167212
1521	73166	167195
1522	73223	167168
1523	73266	167108
1524	73319	167071
1525	73361	167010
1526	73410	166965
1527	73456	166912
1528	73505	166866
1529	73559	166831
1530	73605	166778
1531	73655	166733
1532	73706	166693
1533	73786	166716
1534	73846	166696
1535	73900	166661
1536	73960	166640
1537	74011	166597
1538	74056	166543
1539	74100	166485
1540	74149	166439
1541	74197	166390
1542	74252	166358
1543	74311	166335
1544	74361	166289
1545	74407	166237
1546	74456	166192
1547	74514	166166
1548	74564	166120
1549	74621	166094
1550	74675	166057
1551	74724	166012
1552	74775	165970
1553	74831	165938
1554	74886	165907
1555	74940	165871
1556	74990	165826
1557	75039	165779
1558	75081	165719
1559	75124	165659
1560	75164	165592
1561	75214	165548
1562	75256	165486
1563	75306	165442
1564	75355	165396
1565	75397	165335
1566	75445	165286
1567	75491	165233
1568	75534	165174
1569	75589	165141
1570	75640	165098
1571	75706	165089
1572	75751	165035
1573	75800	164989
1574	75855	164954
1575	75903	164906
1576	75951	164858
1577	76003	164818
1578	76056	164781
1579	76105	164734
1580	76157	164693
1581	76201	164638
1582	76248	164586
1583	76291	164528
1584	76336	164472
1585	76386	164428
1586	76429	164369
1587	76476	164318
1588	76518	164256
1589	76562	164200
1590	76606	164142
1591	76644	164073
1592	76687	164013
1593	76729	163952
1594	76779	163909
1595	76823	163852
1596	76869	163799
1597	76922	163760
1598	76970	163712
1599	77016	163660
1600	77064	163612
1601	77106	163551
1602	77152	163498
1603	77190	163429
1604	77231	163365
1605	77280	163318
1606	77322	163258
1607	77371	163210
1608	77422	163169
1609	77466	163113
1610	77508	163051
1611	77552	162995
1612	77600	162947
1613	77648	162898
1614	77692	162840
1615	77732	162775
1616	77778	162724
1617	77827	162678
1618	77872	162622
1619	77918	162569
1620	77963	162515
1621	78005	162456
1622	78048	162396
1623	78090	162336
1624	78139	162288
1625	78186	162240
1626	78231	162185
1627	78285	162148
1628	78335	162104
1629	78377	162044
1630	78421	161988
1631	78474	161949
1632	78520	161896
1633	78563	161839
1634	78609	161786
1635	78656	161737
1636	78697	161673
1637	78744	161624
1638	78792	161575
1639	78837	161520
1640	78878	161457
1641	78917	161392
1642	78964	161340
1643	79016	161301
1644	79060	161244
1645	79100	161181
1646	79147	161129
1647	79193	161077
1648	79239	161026
1649	79297	160997
1650	79341	160942
1651	79390	160896
1652	79450	160871
1653	79497	160822
1654	79553	160790
1655	79601	160740
1656	79654	160702
1657	79706	160662
1658	79756	160618
1659	79806	160574
1660	79853	160524
1661	79900	160473
1662	79953	160435
